January - December 2019 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ID-011,"Bingham County",14.99,88,1.5,13.49
ID-013,"Blaine County",20.41,92,1.62,18.79
ID-015,"Boise County",31.72,79,1.18,30.54
ID-017,"Bonner County",27.52,9,-8.31,35.83
ID-019,"Bonneville County",23.14,95,2.81,20.33
ID-021,"Boundary County",31.45,17,-6.52,37.97
ID-023,"Butte County",14.52,85,0.94,13.58
ID-025,"Camas County",23.93,70,-0.45,24.38
ID-027,"Canyon County",11.92,111,2.37,9.55
ID-029,"Caribou County",25.67,104,3.26,22.41
ID-031,"Cassia County",18.83,106,3.32,15.51
ID-033,"Clark County",16.78,71,-0.33,17.11
ID-035,"Clearwater County",38.36,17,-8.34,46.7
ID-037,"Custer County",22.76,75,0.21,22.55
ID-039,"Elmore County",20.86,80,0.7,20.16
ID-041,"Franklin County",27.42,110,4.38,23.04
ID-043,"Fremont County",24.7,101,3.03,21.67
ID-045,"Gem County",21.63,97,2.85,18.78
ID-047,"Gooding County",10.86,67,-0.31,11.17
ID-049,"Idaho County",34.14,42,-3.37,37.51
ID-051,"Jefferson County",10.11,79,0.42,9.69
ID-053,"Jerome County",10.39,84,0.68,9.71
ID-055,"Kootenai County",27.58,22,-4.66,32.24
ID-057,"Latah County",28.36,45,-2.16,30.52
ID-059,"Lemhi County",18.65,41,-2.5,21.15
ID-061,"Lewis County",27.34,88,1.9,25.44
ID-063,"Lincoln County",10.64,72,0.13,10.51
ID-065,"Madison County",17.22,95,2.38,14.84
ID-067,"Minidoka County",10.98,96,1.26,9.72
ID-069,"Nez Perce County",23.29,81,1.35,21.94
ID-071,"Oneida County",20.82,94,2.3,18.52
ID-073,"Owyhee County",14.45,101,1.89,12.56
ID-075,"Payette County",16.54,114,3.76,12.78
ID-077,"Power County",19.06,105,3.16,15.9
ID-079,"Shoshone County",37.05,12,-10.34,47.39
ID-081,"Teton County",26.91,104,4.17,22.74
ID-083,"Twin Falls County",14.6,101,2.08,12.52
ID-085,"Valley County",33.47,54,-2.63,36.1
ID-087,"Washington County",24.63,111,4.01,20.62
IL-001,"Adams County",47.77,116,10.99,36.78
IL-003,"Alexander County",64.33,123,19.15,45.18
IL-005,"Bond County",50.77,119,11.38,39.39
IL-007,"Boone County",47.14,127,13.07,34.07
IL-009,"Brown County",46.68,113,9.95,36.73
IL-011,"Bureau County",52.97,128,17.9,35.07
IL-013,"Calhoun County",46.65,111,8.86,37.79
IL-015,"Carroll County",51.7,128,17.22,34.48
IL-017,"Cass County",43.64,108,7.26,36.38
IL-019,"Champaign County",40.18,94,3.63,36.55
IL-021,"Christian County",51.57,126,14.68,36.89
IL-023,"Clark County",50.75,118,11.01,39.74
IL-025,"Clay County",55.92,122,15.52,40.4
IL-027,"Clinton County",51.91,118,12.1,39.81
IL-029,"Coles County",45.96,110,7.64,38.32
IL-031,"Cook County",49.17,128,14.71,34.46
IL-033,"Crawford County",56.02,124,14.97,41.05
IL-035,"Cumberland County",49.59,116,10.05,39.54
IL-037,"DeKalb County",48.85,128,14.22,34.63
IL-039,"De Witt County",45.21,115,8.16,37.05
IL-041,"Douglas County",43.06,105,5.66,37.4
IL-043,"DuPage County",51.15,128,16.65,34.5
IL-045,"Edgar County",44.91,108,6.37,38.54
IL-047,"Edwards County",59.45,125,16.55,42.9
IL-049,"Effingham County",54.39,124,14.81,39.58
IL-051,"Fayette County",52.88,122,13.92,38.96
IL-053,"Ford County",43.72,118,7.97,35.75
IL-055,"Franklin County",53.26,117,11.0,42.26
IL-057,"Fulton County",45.24,116,9.79,35.45
IL-059,"Gallatin County",51.54,101,6.75,44.79
IL-061,"Greene County",47.31,115,9.96,37.35
IL-063,"Grundy County",51.9,127,17.92,33.98
IL-065,"Hamilton County",55.63,123,12.95,42.68
IL-067,"Hancock County",50.97,124,15.39,35.58
IL-069,"Hardin County",59.24,119,13.5,45.74
IL-071,"Henderson County",46.36,121,11.15,35.21
IL-073,"Henry County",52.51,128,17.58,34.93
IL-075,"Iroquois County",40.64,102,4.34,36.3
IL-077,"Jackson County",55.27,116,12.21,43.06
IL-079,"Jasper County",52.32,117,11.96,40.36
IL-081,"Jefferson County",55.82,120,13.88,41.94
IL-083,"Jersey County",48.13,117,10.19,37.94
IL-085,"Jo Daviess County",51.25,127,17.36,33.89
IL-087,"Johnson County",61.76,123,15.8,45.96
IL-089,"Kane County",50.15,128,15.83,34.32
IL-091,"Kankakee County",46.72,122,11.25,35.47
IL-093,"Kendall County",51.45,127,17.25,34.2
IL-095,"Knox County",50.14,126,14.69,35.45
IL-097,"Lake County",50.44,128,17.28,33.16
IL-099,"LaSalle County",52.65,128,18.46,34.19
IL-101,"Lawrence County",59.58,125,17.16,42.42
IL-103,"Lee County",52.35,128,17.48,34.87
IL-105,"Livingston County",48.21,126,13.56,34.65
IL-107,"Logan County",46.53,121,10.35,36.18
IL-109,"McDonough County",52.48,127,16.64,35.84
IL-111,"McHenry County",48.85,128,14.85,34
IL-113,"McLean County",46.09,118,9.63,36.46
IL-115,"Macon County",46.33,119,8.97,37.36
IL-117,"Macoupin County",46.24,111,8.19,38.05
IL-119,"Madison County",50.64,121,12.27,38.37
IL-121,"Marion County",55.46,122,14.91,40.55
IL-123,"Marshall County",49.33,125,14.65,34.68
IL-125,"Mason County",43.77,115,8.86,34.91
IL-127,"Massac County",64.41,122,17.28,47.13
IL-129,"Menard County",47.8,123,12.23,35.57
IL-131,"Mercer County",47.23,122,12.46,34.77
IL-133,"Monroe County",49.12,109,9.47,39.65
IL-135,"Montgomery County",48.88,117,11.05,37.83
IL-137,"Morgan County",46.06,112,9.27,36.79
IL-139,"Moultrie County",45.65,116,7.67,37.98
IL-141,"Ogle County",50.18,127,16.04,34.14
IL-143,"Peoria County",49.44,125,14.34,35.1
IL-145,"Perry County",50.16,112,8.94,41.22
IL-147,"Piatt County",42.82,109,5.72,37.1
IL-149,"Pike County",46.17,110,8.56,37.61
IL-151,"Pope County",61.96,123,15.24,46.72
IL-153,"Pulaski County",64.09,123,18.36,45.73
IL-155,"Putnam County",50.08,125,15.97,34.11
IL-157,"Randolph County",47.01,106,6.27,40.74
IL-159,"Richland County",56.51,126,15.25,41.26
IL-161,"Rock Island County",48.79,125,14.0,34.79
IL-163,"St. Clair County",47.73,110,8.69,39.04
IL-165,"Saline County",56.15,117,11.97,44.18
IL-167,"Sangamon County",48.53,122,12.3,36.23
IL-169,"Schuyler County",48.05,117,11.87,36.18
IL-171,"Scott County",46.8,113,9.89,36.91
IL-173,"Shelby County",52.22,125,13.72,38.5
IL-175,"Stark County",51.86,128,16.89,34.97
IL-177,"Stephenson County",51.19,128,17.16,34.03
IL-179,"Tazewell County",46.63,119,10.85,35.78
IL-181,"Union County",61.63,123,16.55,45.08
IL-183,"Vermilion County",40.3,86,3.26,37.04
IL-185,"Wabash County",59.91,125,16.82,43.09
IL-187,"Warren County",46.4,118,10.88,35.52
IL-189,"Washington County",51.31,115,10.43,40.88
IL-191,"Wayne County",59.36,126,17.29,42.07
IL-193,"White County",52.82,114,9.55,43.27
IL-195,"Whiteside County",52.39,128,17.12,35.27
IL-197,"Will County",50.42,127,15.07,35.35
IL-199,"Williamson County",56.31,117,12.71,43.6
IL-201,"Winnebago County",49.13,128,15.34,33.79
IL-203,"Woodford County",49.06,124,13.6,35.46
IN-001,"Adams County",44.8,119,8.78,36.02
IN-003,"Allen County",43.35,120,7.89,35.46
IN-005,"Bartholomew County",54.54,122,13.15,41.39
IN-007,"Benton County",39.3,81,1.91,37.39
IN-009,"Blackford County",45.23,114,7.68,37.55
IN-011,"Boone County",41.52,81,2.7,38.82
IN-013,"Brown County",55.21,123,13.24,41.97
IN-015,"Carroll County",40.3,83,2.47,37.83
IN-017,"Cass County",40.54,86,2.7,37.84
IN-019,"Clark County",57.37,121,14.1,43.27
IN-021,"Clay County",53.49,122,12.82,40.67
IN-023,"Clinton County",43.67,100,5.16,38.51
IN-025,"Crawford County",64.99,126,19.63,45.36
IN-027,"Daviess County",60.3,126,17.14,43.16
IN-029,"Dearborn County",51.57,119,10.45,41.12
IN-031,"Decatur County",53.24,120,11.56,41.68
IN-033,"DeKalb County",46.13,125,11.08,35.05
IN-035,"Delaware County",45.15,108,6.56,38.59
IN-037,"Dubois County",66.31,126,21.98,44.33
IN-039,"Elkhart County",41.59,112,6.34,35.25
IN-041,"Fayette County",49.35,116,9.15,40.2
IN-043,"Floyd County",58.22,122,14.65,43.57
IN-045,"Fountain County",41.65,92,3.6,38.05
IN-047,"Franklin County",48.86,113,8.19,40.67
IN-049,"Fulton County",41.44,89,3.83,37.61
IN-051,"Gibson County",61.15,124,17.83,43.32
IN-053,"Grant County",45.1,113,7.35,37.75
IN-055,"Greene County",57.59,125,14.78,42.81
IN-057,"Hamilton County",43.36,98,5.21,38.15
IN-059,"Hancock County",49.97,119,10.57,39.4
IN-061,"Harrison County",59.41,122,14.86,44.55
IN-063,"Hendricks County",46.19,105,6.63,39.56
IN-065,"Henry County",48.72,115,8.91,39.81
IN-067,"Howard County",41.91,95,4.17,37.74
IN-069,"Huntington County",43.58,111,6.38,37.2
IN-071,"Jackson County",56.3,124,13.83,42.47
IN-073,"Jasper County",43.85,115,7.32,36.53
IN-075,"Jay County",44.85,116,7.12,37.73
IN-077,"Jefferson County",54.61,119,11.28,43.33
IN-079,"Jennings County",54.53,120,11.78,42.75
IN-081,"Johnson County",50.46,117,9.69,40.77
IN-083,"Knox County",59.75,125,16.99,42.76
IN-085,"Kosciusko County",40.08,93,3.73,36.35
IN-087,"LaGrange County",43.97,122,8.98,34.99
IN-089,"Lake County",47.39,125,11.36,36.03
IN-091,"LaPorte County",45.27,119,8.13,37.14
IN-093,"Lawrence County",59.67,122,15.61,44.06
IN-095,"Madison County",43.8,98,5.27,38.53
IN-097,"Marion County",45.82,107,6.61,39.21
IN-099,"Marshall County",40.86,92,3.71,37.15
IN-101,"Martin County",62.41,127,18.38,44.03
IN-103,"Miami County",39.9,80,2.13,37.77
IN-105,"Monroe County",55.32,122,12.39,42.93
IN-107,"Montgomery County",43.48,95,4.72,38.76
IN-109,"Morgan County",51.54,120,10.83,40.71
IN-111,"Newton County",43.3,110,6.45,36.85
IN-113,"Noble County",43.65,123,8.04,35.61
IN-115,"Ohio County",54.68,123,13.09,41.59
IN-117,"Orange County",65.67,128,20.7,44.97
IN-119,"Owen County",55.73,124,13.7,42.03
IN-121,"Parke County",44.84,105,5.93,38.91
IN-123,"Perry County",63.46,123,18.01,45.45
IN-125,"Pike County",61.7,124,18.03,43.67
IN-127,"Porter County",46.9,125,10.39,36.51
IN-129,"Posey County",55.13,118,11.18,43.95
IN-131,"Pulaski County",45.09,116,7.98,37.11
IN-133,"Putnam County",49.96,118,9.46,40.5
IN-135,"Randolph County",47.03,116,8.17,38.86
IN-137,"Ripley County",53.56,119,11.11,42.45
IN-139,"Rush County",49.31,115,8.79,40.52
IN-141,"St. Joseph County",43.51,114,6.31,37.2
IN-143,"Scott County",54.56,119,11.91,42.65
IN-145,"Shelby County",51.2,120,10.5,40.7
IN-147,"Spencer County",63.55,124,18.87,44.68
IN-149,"Starke County",44.46,116,7.17,37.29
IN-151,"Steuben County",47.13,126,12.1,35.03
IN-153,"Sullivan County",56.03,125,15.0,41.03
IN-155,"Switzerland County",55.28,123,12.96,42.32
IN-157,"Tippecanoe County",41.12,87,3.09,38.03
IN-159,"Tipton County",41.95,92,4.34,37.61
IN-161,"Union County",49.39,116,9.1,40.29
IN-163,"Vanderburgh County",60.64,123,16.71,43.93
IN-165,"Vermillion County",43.11,101,5.13,37.98
IN-167,"Vigo County",49.85,117,10.19,39.66
IN-169,"Wabash County",40.76,88,3.24,37.52
IN-171,"Warren County",39.18,77,1.63,37.55
IN-173,"Warrick County",64.46,125,20.62,43.84
IN-175,"Washington County",59.79,123,15.58,44.21
IN-177,"Wayne County",49.25,117,9.65,39.6
IN-179,"Wells County",44.18,117,7.42,36.76
IN-181,"White County",40.59,92,3.73,36.86
IN-183,"Whitley County",42.72,114,6.23,36.49
IA-001,"Adair County",40.22,106,7.56,32.66
IA-003,"Adams County",41.67,111,8.48,33.19
IA-005,"Allamakee County",51.08,126,18.27,32.81
IA-007,"Appanoose County",51.31,123,16.12,35.19
IA-009,"Audubon County",39.26,108,7.57,31.69
IA-011,"Benton County",39.83,107,6.62,33.21
IA-013,"Black Hawk County",40.44,111,7.01,33.43
IA-015,"Boone County",39.55,113,8.12,31.43
IA-017,"Bremer County",41.52,116,8.29,33.23
IA-019,"Buchanan County",43.49,121,10.31,33.18
IA-021,"Buena Vista County",36.07,110,7.28,28.79
IA-023,"Butler County",38.41,101,5.61,32.8
IA-025,"Calhoun County",36.44,101,5.58,30.86
IA-027,"Carroll County",37.02,103,5.91,31.11
IA-029,"Cass County",41.22,115,9.91,31.31
IA-031,"Cedar County",44.73,117,9.58,35.15
IA-033,"Cerro Gordo County",39.42,108,7.66,31.76
IA-035,"Cherokee County",38.46,124,10.28,28.18
IA-037,"Chickasaw County",41.95,116,9.51,32.44
IA-039,"Clarke County",41.34,108,7.71,33.63
IA-041,"Clay County",39.33,123,10.72,28.61
IA-043,"Clayton County",49.45,127,16.25,33.2
IA-045,"Clinton County",48.97,126,14.02,34.95
IA-047,"Crawford County",36.06,104,6.26,29.8
IA-049,"Dallas County",36.04,92,4.26,31.78
IA-051,"Davis County",47.9,121,12.67,35.23
IA-053,"Decatur County",45.6,117,11.4,34.2
IA-055,"Delaware County",48.39,126,15.07,33.32
IA-057,"Des Moines County",48.23,122,12.98,35.25
IA-059,"Dickinson County",41.92,126,13.72,28.2
IA-061,"Dubuque County",50.19,127,16.8,33.39
IA-063,"Emmet County",41.24,125,11.87,29.37
IA-065,"Fayette County",41.82,118,8.49,33.33
IA-067,"Floyd County",40.83,114,8.7,32.13
IA-069,"Franklin County",39.98,112,8.13,31.85
IA-071,"Fremont County",40.87,114,8.39,32.48
IA-073,"Greene County",38.3,108,6.82,31.48
IA-075,"Grundy County",39.37,105,6.32,33.05
IA-077,"Guthrie County",35.85,89,4.17,31.68
IA-079,"Hamilton County",41.82,119,10.87,30.95
IA-081,"Hancock County",37.58,107,6.27,31.31
IA-083,"Hardin County",41.75,116,9.81,31.94
IA-085,"Harrison County",37.86,112,8.54,29.32
IA-087,"Henry County",47.11,122,11.83,35.28
IA-089,"Howard County",46.05,126,13.42,32.63
IA-091,"Humboldt County",35.52,104,5.0,30.52
IA-093,"Ida County",34.27,94,5.42,28.85
IA-095,"Iowa County",40.99,107,7.21,33.78
IA-097,"Jackson County",48.31,125,14.25,34.06
IA-099,"Jasper County",40.89,108,7.92,32.97
IA-101,"Jefferson County",42.9,113,7.98,34.92
IA-103,"Johnson County",44.05,117,10.29,33.76
IA-105,"Jones County",45.43,123,11.8,33.63
IA-107,"Keokuk County",40.51,106,6.51,34
IA-109,"Kossuth County",40.0,125,9.79,30.21
IA-111,"Lee County",50.09,123,14.55,35.54
IA-113,"Linn County",42.71,113,9.68,33.03
IA-115,"Louisa County",45.68,120,11.2,34.48
IA-117,"Lucas County",43.0,115,9.21,33.79
IA-119,"Lyon County",42.61,127,16.25,26.36
IA-121,"Madison County",37.36,92,4.51,32.85
IA-123,"Mahaska County",42.79,114,9.0,33.79
IA-125,"Marion County",42.09,114,8.59,33.5
IA-127,"Marshall County",40.08,109,7.56,32.52
IA-129,"Mills County",40.14,114,8.39,31.75
IA-131,"Mitchell County",45.38,126,13.38,32
IA-133,"Monona County",33.78,98,5.24,28.54
IA-135,"Monroe County",45.44,119,11.2,34.24
IA-137,"Montgomery County",40.17,107,7.64,32.53
IA-139,"Muscatine County",45.15,117,10.63,34.52
IA-141,"O'Brien County",39.83,125,11.76,28.07
IA-143,"Osceola County",42.64,126,14.9,27.74
IA-145,"Page County",40.68,111,7.27,33.41
IA-147,"Palo Alto County",38.68,122,9.07,29.61
IA-149,"Plymouth County",38.46,125,11.3,27.16
IA-151,"Pocahontas County",35.67,104,5.72,29.95
IA-153,"Polk County",40.48,111,8.53,31.95
IA-155,"Pottawattamie County",39.11,113,8.21,30.9
IA-157,"Poweshiek County",43.38,113,9.37,34.01
IA-159,"Ringgold County",44.68,116,10.1,34.58
IA-161,"Sac County",35.51,101,5.95,29.56
IA-163,"Scott County",47.82,125,12.92,34.9
IA-165,"Shelby County",38.87,107,7.99,30.88
IA-167,"Sioux County",40.47,127,13.73,26.74
IA-169,"Story County",38.49,107,6.76,31.73
IA-171,"Tama County",39.96,104,5.92,34.04
IA-173,"Taylor County",43.11,112,8.74,34.37
IA-175,"Union County",42.37,113,8.49,33.88
IA-177,"Van Buren County",47.51,123,12.43,35.08
IA-179,"Wapello County",42.91,117,8.42,34.49
IA-181,"Warren County",42.45,116,9.61,32.84
IA-183,"Washington County",41.05,107,6.76,34.29
IA-185,"Wayne County",47.64,120,12.62,35.02
IA-187,"Webster County",38.68,110,7.58,31.1
IA-189,"Winnebago County",41.85,123,10.53,31.32
IA-191,"Winneshiek County",47.64,126,14.48,33.16
IA-193,"Woodbury County",34.27,112,6.6,27.67
IA-195,"Worth County",43.37,123,11.47,31.9
IA-197,"Wright County",39.01,114,8.02,30.99
KS-001,"Allen County",61.12,127,21.94,39.18
KS-003,"Anderson County",54.49,124,15.4,39.09
KS-005,"Atchison County",46.54,120,11.42,35.12
KS-007,"Barber County",33.71,116,7.69,26.02
KS-009,"Barton County",31.69,114,6.89,24.8
KS-011,"Bourbon County",60.5,128,20.2,40.3
KS-013,"Brown County",45.59,122,11.22,34.37
KS-015,"Butler County",51.31,128,18.04,33.27
KS-017,"Chase County",47.77,125,15.07,32.7
KS-019,"Chautauqua County",50.7,121,13.86,36.84
KS-021,"Cherokee County",65.77,128,24.13,41.64
KS-023,"Cheyenne County",18.85,73,0.03,18.82
KS-025,"Clark County",27.58,114,5.25,22.33
KS-027,"Clay County",42.83,121,12.64,30.19
KS-029,"Cloud County",37.25,119,9.19,28.06
KS-031,"Coffey County",54.82,125,17.88,36.94
KS-033,"Comanche County",29.34,109,5.23,24.11
KS-035,"Cowley County",57.53,128,23.79,33.74
KS-037,"Crawford County",66.51,128,25.51,41
KS-039,"Decatur County",26.2,113,5.34,20.86
KS-041,"Dickinson County",39.4,117,8.71,30.69
KS-043,"Doniphan County",44.71,115,9.33,35.38
KS-045,"Douglas County",54.23,126,18.01,36.22
KS-047,"Edwards County",27.81,106,5.06,22.75
KS-049,"Elk County",50.14,122,13.69,36.45
KS-051,"Ellis County",32.09,122,8.99,23.1
KS-053,"Ellsworth County",34.26,115,7.58,26.68
KS-055,"Finney County",16.83,44,-1.93,18.76
KS-057,"Ford County",25.13,99,3.48,21.65
KS-059,"Franklin County",56.45,126,19.07,37.38
KS-061,"Geary County",41.84,115,9.25,32.59
KS-063,"Gove County",23.31,101,3.55,19.76
KS-065,"Graham County",27.58,110,5.72,21.86
KS-067,"Grant County",16.93,57,-0.74,17.67
KS-069,"Gray County",20.56,75,0.51,20.05
KS-071,"Greeley County",18.97,89,2.06,16.91
KS-073,"Greenwood County",55.41,126,20.11,35.3
KS-075,"Hamilton County",16.71,68,0.23,16.48
KS-077,"Harper County",40.45,123,12.03,28.42
KS-079,"Harvey County",41.71,122,10.66,31.05
KS-081,"Haskell County",18.56,63,-0.67,19.23
KS-083,"Hodgeman County",22.91,86,2.29,20.62
KS-085,"Jackson County",46.73,124,12.56,34.17
KS-087,"Jefferson County",49.41,125,14.0,35.41
KS-089,"Jewell County",36.56,123,10.49,26.07
KS-091,"Johnson County",49.94,122,12.84,37.1
KS-093,"Kearny County",16.56,58,-0.85,17.41
KS-095,"Kingman County",37.44,119,9.43,28.01
KS-097,"Kiowa County",28.92,106,5.25,23.67
KS-099,"Labette County",64.86,128,24.68,40.18
KS-101,"Lane County",19.66,63,-0.03,19.69
KS-103,"Leavenworth County",49.06,121,13.32,35.74
KS-105,"Lincoln County",32.31,111,6.53,25.78
KS-107,"Linn County",56.66,126,16.63,40.03
KS-109,"Logan County",21.99,103,3.61,18.38
KS-111,"Lyon County",48.65,122,13.87,34.78
KS-113,"McPherson County",38.55,117,9.13,29.42
KS-115,"Marion County",42.18,122,10.43,31.75
KS-117,"Marshall County",45.38,125,14.01,31.37
KS-119,"Meade County",26.8,119,6.37,20.43
KS-121,"Miami County",51.04,121,12.27,38.77
KS-123,"Mitchell County",32.73,116,7.2,25.53
KS-125,"Montgomery County",57.39,128,19.55,37.84
KS-127,"Morris County",43.85,120,10.76,33.09
KS-129,"Morton County",16.66,64,-0.28,16.94
KS-131,"Nemaha County",47.62,125,14.54,33.08
KS-133,"Neosho County",64.39,128,24.62,39.77
KS-135,"Ness County",23.84,88,2.84,21
KS-137,"Norton County",26.4,102,4.4,22
KS-139,"Osage County",51.94,126,16.28,35.66
KS-141,"Osborne County",31.78,117,7.92,23.86
KS-143,"Ottawa County",35.56,116,7.74,27.82
KS-145,"Pawnee County",28.09,106,5.16,22.93
KS-147,"Phillips County",27.6,103,4.45,23.15
KS-149,"Pottawatomie County",47.96,125,14.98,32.98
KS-151,"Pratt County",28.5,95,3.19,25.31
KS-153,"Rawlins County",23.66,102,3.83,19.83
KS-155,"Reno County",34.46,111,6.88,27.58
KS-157,"Republic County",38.83,121,10.93,27.9
KS-159,"Rice County",34.44,116,7.68,26.76
KS-161,"Riley County",45.76,122,14.02,31.74
KS-163,"Rooks County",29.31,112,6.32,22.99
KS-165,"Rush County",32.94,125,10.14,22.8
KS-167,"Russell County",30.4,111,5.91,24.49
KS-169,"Saline County",37.7,117,8.9,28.8
KS-171,"Scott County",18.16,59,-0.58,18.74
KS-173,"Sedgwick County",44.97,126,14.32,30.65
KS-175,"Seward County",21.8,97,2.59,19.21
KS-177,"Shawnee County",46.9,122,12.15,34.75
KS-179,"Sheridan County",26.82,112,6.01,20.81
KS-181,"Sherman County",21.31,101,3.09,18.22
KS-183,"Smith County",30.05,108,6.13,23.92
KS-185,"Stafford County",27.7,92,2.87,24.83
KS-187,"Stanton County",15.51,52,-1.06,16.57
KS-189,"Stevens County",19.84,93,1.69,18.15
KS-191,"Sumner County",50.72,128,19.59,31.13
KS-193,"Thomas County",25.15,114,5.62,19.53
KS-195,"Trego County",24.64,97,3.13,21.51
KS-197,"Wabaunsee County",47.6,122,13.38,34.22
KS-199,"Wallace County",21.74,108,4.13,17.61
KS-201,"Washington County",42.72,124,13.09,29.63
KS-203,"Wichita County",16.85,53,-0.96,17.81
KS-205,"Wilson County",58.57,128,20.86,37.71
KS-207,"Woodson County",55.52,125,18.05,37.47
KS-209,"Wyandotte County",49.61,122,13.42,36.19
KY-001,"Adair County",66.4,126,16.17,50.23
KY-003,"Allen County",67.88,127,17.67,50.21
KY-005,"Anderson County",62.28,125,16.55,45.73
KY-007,"Ballard County",65.13,123,18.78,46.35
KY-009,"Barren County",66.77,126,16.31,50.46
KY-011,"Bath County",61.71,126,15.86,45.85
KY-013,"Bell County",67.34,127,15.67,51.67
KY-015,"Boone County",53.89,123,12.39,41.5
KY-017,"Bourbon County",59.09,121,14.25,44.84
KY-019,"Boyd County",52.72,120,10.7,42.02
KY-021,"Boyle County",53.87,99,5.96,47.91
KY-023,"Bracken County",55.01,121,10.92,44.09
KY-025,"Breathitt County",57.08,119,10.7,46.38
KY-027,"Breckinridge County",65.9,125,19.15,46.75
KY-029,"Bullitt County",62.98,124,17.52,45.46
KY-031,"Butler County",65.75,125,17.75,48
KY-033,"Caldwell County",57.93,112,10.56,47.37
KY-035,"Calloway County",60.87,115,11.9,48.97
KY-037,"Campbell County",53.37,121,11.56,41.81
KY-039,"Carlisle County",66.52,123,19.31,47.21
KY-041,"Carroll County",55.42,122,12.66,42.76
KY-043,"Carter County",52.74,120,10.52,42.22
KY-045,"Casey County",61.6,120,11.81,49.79
KY-047,"Christian County",57.52,111,9.33,48.19
KY-049,"Clark County",61.78,124,15.93,45.85
KY-051,"Clay County",64.92,126,16.05,48.87
KY-053,"Clinton County",69.46,127,17.27,52.19
KY-055,"Crittenden County",61.08,124,14.81,46.27
KY-057,"Cumberland County",66.52,126,15.35,51.17
KY-059,"Daviess County",60.9,124,16.06,44.84
KY-061,"Edmonson County",65.09,125,15.26,49.83
KY-063,"Elliott County",56.01,123,12.72,43.29
KY-065,"Estill County",65.04,127,18.93,46.11
KY-067,"Fayette County",59.05,122,14.03,45.02
KY-069,"Fleming County",59.14,126,14.31,44.83
KY-071,"Floyd County",54.13,122,10.45,43.68
KY-073,"Franklin County",61.28,125,16.64,44.64
KY-075,"Fulton County",68.56,126,19.62,48.94
KY-077,"Gallatin County",55.35,123,12.99,42.36
KY-079,"Garrard County",57.34,115,10.57,46.77
KY-081,"Grant County",55.47,124,12.68,42.79
KY-083,"Graves County",65.15,122,16.09,49.06
KY-085,"Grayson County",66.59,124,17.6,48.99
KY-087,"Green County",60.2,121,11.14,49.06
KY-089,"Greenup County",49.23,113,7.53,41.7
KY-091,"Hancock County",63.54,124,17.79,45.75
KY-093,"Hardin County",64.62,125,17.65,46.97
KY-095,"Harlan County",62.74,120,10.69,52.05
KY-097,"Harrison County",58.74,124,15.2,43.54
KY-099,"Hart County",62.18,120,12.86,49.32
KY-101,"Henderson County",58.18,121,13.76,44.42
KY-103,"Henry County",59.28,124,15.2,44.08
KY-105,"Hickman County",67.81,125,19.52,48.29
KY-107,"Hopkins County",61.38,124,15.46,45.92
KY-109,"Jackson County",65.62,126,17.31,48.31
KY-111,"Jefferson County",60.42,123,16.27,44.15
KY-113,"Jessamine County",58.36,119,12.86,45.5
KY-115,"Johnson County",54.52,124,10.74,43.78
KY-117,"Kenton County",53.78,122,12.0,41.78
KY-119,"Knott County",53.62,111,7.65,45.97
KY-121,"Knox County",64.9,127,14.65,50.25
KY-123,"Larue County",62.08,122,13.99,48.09
KY-125,"Laurel County",66.05,126,16.69,49.36
KY-127,"Lawrence County",54.33,120,11.06,43.27
KY-129,"Lee County",62.81,125,16.2,46.61
KY-131,"Leslie County",60.14,122,11.25,48.89
KY-133,"Letcher County",53.56,109,6.93,46.63
KY-135,"Lewis County",55.08,121,11.62,43.46
KY-137,"Lincoln County",57.61,110,9.04,48.57
KY-139,"Livingston County",62.69,121,15.3,47.39
KY-141,"Logan County",65.16,125,16.77,48.39
KY-143,"Lyon County",59.21,112,11.11,48.1
KY-145,"McCracken County",65.36,122,17.9,47.46
KY-147,"McCreary County",68.84,128,18.32,50.52
KY-149,"McLean County",59.0,124,13.99,45.01
KY-151,"Madison County",61.04,121,15.1,45.94
KY-153,"Magoffin County",54.25,121,9.76,44.49
KY-155,"Marion County",59.56,118,11.06,48.5
KY-157,"Marshall County",62.35,120,14.15,48.2
KY-159,"Martin County",56.16,120,11.11,45.05
KY-161,"Mason County",55.82,122,11.76,44.06
KY-163,"Meade County",61.81,124,16.22,45.59
KY-165,"Menifee County",63.83,126,17.43,46.4
KY-167,"Mercer County",58.17,117,11.71,46.46
KY-169,"Metcalfe County",64.28,125,14.08,50.2
KY-171,"Monroe County",66.86,126,15.05,51.81
KY-173,"Montgomery County",63.0,126,16.32,46.68
KY-175,"Morgan County",57.06,122,12.41,44.65
KY-177,"Muhlenberg County",64.01,126,17.34,46.67
KY-179,"Nelson County",64.3,125,17.28,47.02
KY-181,"Nicholas County",59.36,123,14.47,44.89
KY-183,"Ohio County",65.14,125,18.77,46.37
KY-185,"Oldham County",60.49,124,15.93,44.56
KY-187,"Owen County",58.1,124,14.44,43.66
KY-189,"Owsley County",62.75,127,15.51,47.24
KY-191,"Pendleton County",54.78,121,11.54,43.24
KY-193,"Perry County",56.37,116,9.04,47.33
KY-195,"Pike County",56.38,125,12.08,44.3
